Open,Close,High,Low,Volume,RSI14,SMA14,EMA14,MACD_sl,MACD_h
134.38,134.74,135.35,133.91,2911327.0,0.0,0.0,0.0,0.0,0.0
135.32,135.95,136.46,135.05,3407345.0,0.0,0.0,0.0,0.0,0.0
135.56,134.87,135.94,134.41,2254741.0,0.0,0.0,0.0,0.0,0.0
135.13,135.76,136.27,135.09,2955419.0,0.0,0.0,0.0,0.0,0.0
135.44,135.15,135.88,134.43,2193367.0,0.0,0.0,0.0,0.0,0.0
135.39,134.95,136.03,134.7,2194129.0,0.0,0.0,0.0,0.0,0.0
135.2,136.38,137.19,135.2,2914698.0,0.0,0.0,0.0,0.0,0.0
136.43,137.08,138.36,136.24,2382520.0,0.0,0.0,0.0,0.0,0.0
138.93,138.85,139.54,138.2,3071017.0,0.0,0.0,0.0,0.0,0.0
138.44,139.2,139.54,138.39,5288759.0,0.0,0.0,0.0,0.0,0.0
139.2,139.35,140.15,139.05,2186137.0,0.0,0.0,0.0,0.0,0.0
139.46,138.36,139.55,138.13,2801251.0,0.0,0.0,0.0,0.0,0.0
138.87,138.52,139.68,138.41,2284567.0,0.0,0.0,0.0,0.0,0.0
138.72,138.52,139.3,137.95,2149824.0,69.81,136.98,136.98,0.0,0.0
138.57,137.9,139.14,137.84,6154039.0,65.55,137.2,137.1,0.0,0.0
139.6,139.88,141.49,139.28,3387184.0,67.98,137.48,137.47,0.0,0.0
139.75,140.22,140.43,139.47,2410092.0,76.25,137.87,137.84,0.0,0.0
140.72,141.54,141.82,140.43,1930361.0,77.21,138.28,138.33,0.0,0.0
140.87,141.38,141.49,139.91,2135085.0,80.63,138.72,138.74,0.0,0.0
141.05,140.57,141.28,140.27,2395487.0,76.07,139.12,138.98,0.0,0.0
140.61,139.33,140.99,139.13,3365227.0,63.93,139.34,139.03,0.0,0.0
140.0,140.47,141.91,139.79,2513931.0,65.37,139.58,139.22,0.0,0.0
140.79,141.24,141.58,140.3,2133327.0,61.91,139.75,139.49,0.0,0.0
141.92,142.74,142.92,141.66,2786276.0,65.83,140.0,139.92,0.0,0.0
142.89,143.32,143.51,142.12,2368309.0,67.1,140.28,140.38,0.0,0.0
143.17,143.53,144.04,143.02,3474688.0,73.87,140.65,140.8,0.0,0.0
143.61,143.07,143.8,141.95,6064265.0,70.44,140.98,141.1,0.0,0.0
142.5,149.63,150.31,142.2,12695387.0,81.4,141.77,142.24,0.0,0.0
149.96,149.68,151.58,149.55,7290678.0,84.4,142.61,143.23,0.0,0.0
150.16,149.74,151.94,149.7,4093239.0,82.43,143.32,144.1,0.0,0.0
150.57,150.38,150.72,148.38,3742204.0,82.77,144.04,144.94,0.0,0.0
150.12,150.03,151.45,149.19,2952435.0,79.22,144.65,145.61,0.0,0.0
149.82,150.39,150.62,148.61,3102113.0,80.58,145.29,146.25,3.09,0.63
151.0,151.36,151.41,150.1,2904494.0,86.23,146.07,146.93,3.23,0.57
151.11,150.88,151.48,150.32,2075528.0,90.87,146.89,147.46,3.34,0.44
150.0,149.77,150.4,149.22,2632726.0,82.98,147.55,147.77,3.4,0.23
149.7,148.24,150.18,146.39,3722907.0,73.55,148.05,147.83,3.39,-0.03
148.9,150.32,152.82,148.5,6344006.0,74.55,148.6,148.16,3.37,-0.1
149.03,147.25,152.95,145.59,8101720.0,60.96,148.88,148.04,3.28,-0.36
144.98,140.76,145.1,139.15,7114871.0,44.28,148.68,147.07,3.04,-0.95
142.03,140.73,142.47,139.31,5070650.0,45.08,148.51,146.22,2.71,-1.3
138.74,139.11,139.58,136.41,5931883.0,22.08,147.76,145.28,2.32,-1.58
138.45,140.1,140.42,137.76,5261444.0,25.78,147.08,144.59,1.91,-1.63
139.27,136.13,139.31,135.35,5244594.0,21.27,146.1,143.46,1.45,-1.85
135.66,134.12,135.87,133.18,4083738.0,17.56,144.94,142.21,0.94,-2.03
133.8,135.79,136.57,132.81,4551170.0,23.01,143.92,141.36,0.46,-1.94
133.91,131.25,134.16,130.98,5114159.0,18.68,142.56,140.01,-0.06,-2.07
131.22,131.92,132.37,130.25,3738945.0,17.88,141.17,138.93,-0.56,-2.0
133.04,133.76,134.59,132.95,3011993.0,22.93,139.95,138.24,-0.99,-1.73
134.88,135.04,136.33,134.88,3165436.0,26.83,138.89,137.81,-1.34,-1.38
135.24,133.0,135.28,132.81,3018934.0,26.41,137.81,137.17,-1.64,-1.21
134.96,134.25,135.94,133.8,2806774.0,24.47,136.66,136.78,-1.87,-0.94
134.69,134.32,135.68,133.81,2695009.0,27.29,135.73,136.45,-2.05,-0.7
133.63,129.57,134.26,128.83,4818759.0,29.07,134.94,135.54,-2.25,-0.8
131.05,129.99,131.3,129.16,2836837.0,30.2,134.17,134.8,-2.44,-0.77
131.2,131.17,131.7,130.31,4728392.0,35.12,133.6,134.31,-2.6,-0.62
130.44,132.76,132.89,130.04,2720362.0,36.55,133.08,134.11,-2.69,-0.36
134.18,134.88,135.69,134.04,2972842.0,47.54,132.99,134.21,-2.7,-0.02
135.58,135.53,136.07,134.36,2960594.0,52.93,133.09,134.39,-2.63,0.26
134.85,134.1,134.9,133.33,2828242.0,46.45,132.97,134.35,-2.54,0.35
135.71,136.32,136.43,135.15,2262081.0,61.79,133.33,134.61,-2.41,0.56
138.3,140.97,141.69,138.05,5012914.0,67.75,133.98,135.46,-2.16,0.97
141.52,140.57,141.53,140.46,2577200.0,64.16,134.46,136.14,-1.87,1.18
140.59,142.6,143.02,140.46,4226944.0,65.24,135.0,137.0,-1.52,1.39
143.0,145.05,145.46,142.96,4979741.0,73.9,135.86,138.07,-1.11,1.62
144.85,143.6,145.12,142.71,3869731.0,68.4,136.53,138.81,-0.71,1.6
144.03,143.62,144.04,141.88,2505432.0,68.34,137.19,139.45,-0.33,1.51
144.32,143.67,144.65,143.26,2206612.0,84.12,138.2,140.01,0.01,1.38
142.56,142.48,143.64,142.27,1928500.0,79.14,139.09,140.34,0.3,1.15
142.48,142.2,142.48,140.66,2940494.0,76.86,139.88,140.59,0.53,0.93
142.05,142.22,142.3,140.51,1995159.0,74.95,140.56,140.81,0.71,0.73
142.46,142.97,145.03,142.45,3182092.0,73.0,141.14,141.1,0.87,0.62
143.25,141.88,143.83,141.82,5217881.0,67.61,141.59,141.2,0.98,0.43
141.19,142.07,142.22,140.56,1850061.0,73.73,142.16,141.32,1.05,0.3
142.5,141.68,142.89,141.07,3311171.0,67.91,142.54,141.37,1.09,0.16
141.74,143.16,143.63,140.86,2546205.0,59.29,142.7,141.6,1.13,0.15
143.17,143.55,143.88,141.41,2314542.0,62.65,142.91,141.86,1.17,0.16
144.41,143.24,145.09,142.38,2357082.0,53.18,142.96,142.05,1.2,0.12
143.73,145.42,146.57,143.73,4004429.0,51.89,142.98,142.5,1.25,0.22
145.59,143.66,147.35,143.54,2973714.0,50.3,142.99,142.65,1.29,0.14
142.19,141.69,142.27,140.57,3347276.0,41.99,142.85,142.52,1.28,-0.05
141.62,142.02,142.07,139.18,3161718.0,43.31,142.73,142.46,1.24,-0.16
142.06,142.99,143.06,141.03,2449483.0,52.11,142.77,142.53,1.2,-0.16
142.26,141.28,142.7,141.22,2488799.0,46.6,142.7,142.36,1.12,-0.28
140.24,138.38,140.47,138.25,3344083.0,38.31,142.43,141.83,0.99,-0.54
139.77,139.67,140.33,138.79,2633472.0,40.27,142.19,141.54,0.84,-0.59
139.77,141.13,141.78,139.56,2646693.0,47.84,142.14,141.49,0.71,-0.51
142.77,142.76,144.5,142.61,3018669.0,51.84,142.19,141.66,0.63,-0.34
142.31,142.04,142.43,141.32,2325609.0,50.94,142.21,141.71,0.56,-0.26
142.54,143.0,143.72,141.81,3046999.0,49.57,142.2,141.88,0.53,-0.15
142.49,142.11,142.95,141.39,5915705.0,46.23,142.1,141.91,0.5,-0.13
135.0,134.26,136.0,132.91,15830810.0,33.13,141.46,140.89,0.34,-0.61
134.22,134.09,134.49,132.25,7178379.0,26.98,140.65,139.98,0.12,-0.9
132.61,132.58,133.1,130.9,6372983.0,27.26,139.86,139.0,-0.16,-1.13
132.55,133.96,134.05,131.61,4195803.0,33.74,139.31,138.33,-0.44,-1.12
133.52,134.38,134.56,132.7,3627345.0,33.99,138.76,137.8,-0.7,-1.03
134.83,134.07,135.07,133.3,2619309.0,30.78,138.12,137.3,-0.94,-0.93
134.12,135.44,135.93,134.1,2579055.0,37.23,137.7,137.05,-1.12,-0.73
136.0,135.97,136.63,135.44,3226132.0,44.12,137.53,136.91,-1.25,-0.51
135.42,133.82,135.57,133.44,4160718.0,36.3,137.11,136.5,-1.37,-0.48
133.83,135.25,135.28,133.2,2252989.0,36.21,136.69,136.33,-1.45,-0.33
135.11,133.73,135.25,133.23,3412119.0,28.71,136.05,135.98,-1.53,-0.3
134.5,135.53,135.56,134.09,3089789.0,35.4,135.59,135.92,-1.56,-0.14
136.24,137.67,137.74,136.23,3335389.0,38.65,135.2,136.16,-1.53,0.12
137.8,137.89,138.76,137.63,3014961.0,40.75,134.9,136.39,-1.46,0.3
138.0,138.78,138.78,137.55,4477291.0,64.27,135.23,136.71,-1.34,0.47
137.87,137.69,139.13,137.58,4073908.0,60.74,135.48,136.84,-1.21,0.5
137.58,137.61,137.61,136.16,2278602.0,66.41,135.84,136.94,-1.09,0.49
137.2,135.47,137.2,135.0,2568755.0,54.69,135.95,136.74,-1.01,0.34
135.87,135.59,136.66,135.02,3046536.0,53.83,136.04,136.59,-0.95,0.24
135.39,134.48,135.58,133.84,3060924.0,51.24,136.07,136.31,-0.92,0.1
134.13,134.0,134.33,133.33,4231471.0,45.41,135.96,136.0,-0.92,-0.01
134.39,134.4,135.12,134.03,3262656.0,44.96,135.85,135.79,-0.93,-0.05
134.3,134.31,134.48,133.23,3210872.0,51.81,135.89,135.59,-0.95,-0.06
134.88,134.52,135.38,134.46,2995071.0,47.03,135.83,135.45,-0.96,-0.05
134.06,133.2,134.46,132.75,4140148.0,47.81,135.8,135.15,-0.99,-0.11
133.4,133.84,134.17,132.98,3345343.0,42.27,135.68,134.97,-1.02,-0.1
134.19,134.34,134.65,133.59,3297797.0,32.08,135.44,134.89,-1.03,-0.04
134.47,135.97,136.0,134.35,2590170.0,41.03,135.3,135.03,-1.0,0.11
136.15,135.09,136.15,134.77,3793337.0,32.74,135.04,135.04,-0.96,0.15
135.35,133.77,135.71,133.62,3282827.0,32.05,134.76,134.87,-0.94,0.09
133.6,134.45,134.52,133.03,1825255.0,36.28,134.53,134.82,-0.91,0.1
134.45,132.91,134.5,132.48,3067831.0,38.28,134.35,134.56,-0.91,0.02
132.0,132.12,132.44,130.69,3711071.0,35.03,134.1,134.24,-0.93,-0.08
132.86,131.99,133.68,131.96,3530773.0,38.27,133.92,133.94,-0.96,-0.14
132.99,131.91,133.24,131.63,3598578.0,39.76,133.77,133.67,-1.0,-0.16
132.75,133.22,133.89,132.7,3437994.0,44.69,133.69,133.61,-1.02,-0.08
133.35,133.92,134.59,133.26,2978801.0,48.34,133.66,133.65,-1.02,0.03
133.92,133.91,134.84,133.56,3480385.0,47.35,133.62,133.68,-0.99,0.11
134.11,133.76,134.51,133.67,3953311.0,52.7,133.66,133.69,-0.95,0.15
133.7,135.32,135.66,133.66,4824186.0,56.56,133.76,133.91,-0.88,0.28
134.75,134.21,135.5,134.01,2534970.0,49.45,133.75,133.95,-0.81,0.28
134.94,134.13,135.45,133.85,3049325.0,41.1,133.62,133.97,-0.74,0.27
134.28,134.22,134.69,133.46,2907547.0,45.45,133.56,134.01,-0.68,0.26
134.55,134.41,135.0,134.15,3102353.0,53.8,133.61,134.06,-0.61,0.26
134.46,134.56,134.72,134.19,3866717.0,50.7,133.61,134.13,-0.55,0.26
135.74,135.59,136.42,134.95,7112072.0,68.16,133.8,134.32,-0.47,0.32
135.78,135.55,136.15,135.0,2803168.0,75.87,134.05,134.49,-0.38,0.34
135.61,134.98,135.62,134.61,1202087.0,71.15,134.26,134.55,-0.31,0.3
134.98,134.91,135.31,134.65,2130706.0,71.25,134.48,134.6,-0.24,0.26
135.0,135.27,135.75,134.87,2752706.0,66.78,134.62,134.69,-0.18,0.25
135.2,132.81,135.3,132.5,4118937.0,42.95,134.54,134.44,-0.16,0.07
132.53,134.04,134.12,132.4,3778012.0,50.72,134.55,134.39,-0.15,0.04
135.0,135.42,135.92,134.77,3148833.0,58.04,134.67,134.52,-0.13,0.1
133.57,134.34,134.86,133.56,2373676.0,45.02,134.6,134.5,-0.11,0.07
133.42,134.1,134.24,133.2,2426305.0,49.39,134.59,134.45,-0.1,0.03
133.69,134.19,134.96,133.4,3275968.0,50.33,134.6,134.41,-0.1,0.01
134.51,135.31,135.86,133.92,4346140.0,55.44,134.68,134.53,-0.08,0.07
135.74,136.74,136.79,135.31,3732830.0,60.36,134.84,134.83,-0.03,0.2
137.0,136.69,137.87,136.31,3255641.0,59.55,135.0,135.07,0.03,0.26
135.48,136.6,136.64,135.07,3531572.0,54.95,135.07,135.28,0.11,0.29
136.28,135.82,137.14,135.55,3683458.0,51.23,135.09,135.35,0.16,0.23
136.0,136.62,138.06,135.71,4045952.0,57.33,135.2,135.52,0.22,0.24
137.32,137.98,138.19,137.01,4320911.0,62.31,135.42,135.85,0.3,0.31
136.54,138.31,138.33,136.16,5623336.0,62.22,135.64,136.18,0.39,0.36
137.81,139.17,139.35,137.6,7244079.0,79.34,136.09,136.58,0.5,0.42
143.32,143.89,145.79,142.55,16470431.0,84.37,136.8,137.55,0.68,0.74
144.2,142.87,144.41,142.15,5657790.0,76.66,137.33,138.26,0.89,0.83
143.39,140.56,143.92,140.46,5580189.0,70.46,137.78,138.57,1.06,0.68
138.5,138.62,140.07,138.1,4166562.0,63.37,138.1,138.57,1.16,0.42
139.5,139.55,140.47,138.75,3451557.0,65.11,138.48,138.7,1.24,0.29
139.17,137.69,139.58,137.59,3054714.0,56.44,138.65,138.57,1.25,0.05
136.76,136.77,136.97,134.97,5057906.0,50.08,138.65,138.33,1.21,-0.16
142.9,143.73,144.05,140.79,18994560.0,64.15,139.16,139.05,1.24,0.14
144.25,146.27,147.28,143.9,8887502.0,67.69,139.85,140.01,1.36,0.48
147.78,149.11,149.38,146.88,5620966.0,72.61,140.8,141.22,1.57,0.83
150.21,156.33,157.44,150.15,14386823.0,77.52,142.2,143.24,1.94,1.46
156.82,156.76,158.75,155.42,8400545.0,76.92,143.54,145.04,2.38,1.78
154.55,153.41,155.54,152.92,6423429.0,69.92,144.62,146.16,2.79,1.66
152.97,154.43,154.44,151.58,5239807.0,70.05,145.71,147.26,3.18,1.53
155.12,153.48,155.22,152.73,3835112.0,63.98,146.4,148.09,3.5,1.28
153.75,155.31,155.6,153.52,4438007.0,67.72,147.29,149.05,3.78,1.14
154.37,154.31,154.83,153.41,3820697.0,70.35,148.27,149.75,4.01,0.9
154.42,150.7,154.56,149.77,6099244.0,67.03,149.13,149.88,4.12,0.43
149.79,151.1,151.38,149.64,3343514.0,66.53,149.96,150.04,4.14,0.1
151.54,150.86,151.89,150.31,2733277.0,69.77,150.9,150.15,4.1,-0.16
150.81,151.22,151.62,149.51,2880709.0,72.06,151.93,150.29,4.02,-0.33
151.04,149.84,151.04,148.84,3537258.0,61.24,152.37,150.23,3.88,-0.55
145.51,146.43,148.05,145.38,5452408.0,50.29,152.38,149.73,3.66,-0.91
146.51,141.71,147.07,141.26,6211547.0,37.63,151.85,148.66,3.3,-1.42
142.9,139.75,144.06,139.6,5409537.0,16.38,150.66,147.47,2.85,-1.82
137.24,133.11,138.69,133.01,8421125.0,11.69,148.98,145.56,2.24,-2.43
129.98,130.15,131.09,126.36,13012228.0,11.84,147.31,143.5,1.52,-2.89
130.75,134.3,134.44,127.95,8531415.0,20.05,145.88,142.27,0.82,-2.77
134.48,128.9,136.09,127.8,7896068.0,17.71,144.12,140.49,0.1,-2.91
131.58,134.22,134.28,129.0,4996370.0,24.62,142.61,139.65,-0.53,-2.5
130.5,129.55,132.29,128.45,5446227.0,22.62,140.85,138.31,-1.13,-2.41
126.7,127.73,128.33,124.52,8193257.0,23.56,139.21,136.9,-1.72,-2.33
120.16,117.81,122.41,117.28,10757487.0,18.56,136.83,134.35,-2.41,-2.78
122.78,124.77,124.88,115.76,11410688.0,28.14,134.96,133.07,-3.02,-2.45
121.01,117.97,122.58,116.38,8451038.0,24.85,132.59,131.06,-3.65,-2.52
109.65,102.81,109.8,102.28,12512655.0,20.57,129.23,127.29,-4.49,-3.36
108.68,107.95,109.16,100.81,12502113.0,26.43,126.48,124.71,-5.33,-3.35
98.0,99.08,107.41,95.0,10567960.0,25.15,123.44,121.3,-6.25,-3.68
100.61,106.65,107.39,97.1,9258338.0,31.89,121.07,119.34,-7.04,-3.16
99.41,103.55,106.93,99.4,8772460.0,33.17,118.96,117.24,-7.74,-2.8
102.33,100.34,103.69,98.23,8396521.0,33.08,116.83,114.98,-8.38,-2.56
100.92,95.39,100.99,94.71,10546455.0,28.11,114.05,112.37,-9.0,-2.51
94.6,94.77,97.74,90.56,9729393.0,29.71,111.61,110.03,-9.58,-2.31
99.99,105.48,106.04,99.26,7973944.0,33.94,109.56,109.42,-9.91,-1.29
105.48,105.85,112.48,102.83,8654047.0,36.09,107.87,108.94,-10.02,-0.47
106.91,112.89,113.15,105.57,7158052.0,41.79,106.81,109.47,-9.87,0.61
108.58,108.03,111.5,107.64,6423038.0,44.27,106.11,109.28,-9.61,1.03
108.09,112.93,113.46,107.81,5564541.0,42.89,105.26,109.76,-9.2,1.64
112.0,110.93,113.81,110.17,6346676.0,45.52,104.76,109.92,-8.73,1.9
106.36,105.14,109.92,104.52,6112947.0,51.69,104.93,109.28,-8.31,1.67
105.37,110.0,110.32,105.14,6328674.0,51.49,105.07,109.38,-7.86,1.82
108.92,106.34,110.07,104.92,4538750.0,55.7,105.59,108.97,-7.44,1.66
110.35,114.82,115.63,110.13,7034193.0,56.33,106.18,109.75,-6.92,2.08
118.8,114.94,119.57,114.87,5595329.0,59.25,106.99,110.44,-6.34,2.31
116.31,119.29,119.96,115.07,5158641.0,65.11,108.34,111.62,-5.68,2.66
120.48,121.5,122.92,120.17,5576815.0,71.77,110.21,112.94,-4.94,2.94
121.63,121.15,121.8,118.04,5119713.0,72.09,112.09,114.04,-4.2,2.98
123.46,123.91,125.18,122.62,5088660.0,67.81,113.41,115.35,-3.43,3.07
119.12,118.69,120.19,116.76,5637341.0,61.34,114.33,115.8,-2.77,2.66
119.01,115.73,119.75,114.42,6457556.0,52.7,114.53,115.79,-2.24,2.1
119.3,120.12,120.39,117.92,4965992.0,61.61,115.39,116.37,-1.76,1.94
119.15,120.41,122.86,118.14,8181736.0,57.88,115.93,116.9,-1.32,1.77
114.0,116.76,117.14,112.06,14349032.0,55.94,116.34,116.89,-0.98,1.35
119.87,119.31,120.33,117.55,7087869.0,65.45,117.35,117.21,-0.68,1.19
119.57,121.35,123.03,119.12,6881615.0,63.19,118.17,117.76,-0.39,1.16
122.41,124.72,125.0,120.76,4987346.0,71.5,119.48,118.69,-0.07,1.3
125.56,125.92,126.99,125.47,4923806.0,65.65,120.27,119.65,0.28,1.4
128.03,126.27,128.2,125.38,4778144.0,65.87,121.08,120.54,0.64,1.41
128.88,128.69,129.31,127.53,5257579.0,63.92,121.75,121.62,1.01,1.49
126.52,125.56,127.27,125.22,6635783.0,55.85,122.04,122.15,1.32,1.25
123.19,121.87,123.47,121.39,4925535.0,50.95,122.09,122.11,1.52,0.79
120.82,121.68,121.97,119.39,4017877.0,46.85,121.93,122.05,1.62,0.43
123.39,122.58,124.32,122.47,3899416.0,56.25,122.21,122.12,1.68,0.23
123.24,123.17,124.05,122.41,3864589.0,62.93,122.74,122.26,1.71,0.11
122.98,121.23,123.26,120.85,4414328.0,52.11,122.82,122.13,1.68,-0.11
122.67,122.99,123.23,121.06,5003939.0,54.64,123.01,122.24,1.65,-0.14
121.81,122.59,123.45,120.67,3535276.0,61.88,123.42,122.29,1.6,-0.2
123.01,120.26,124.32,120.26,4784457.0,51.95,123.49,122.02,1.5,-0.38
119.95,115.73,119.99,114.85,5882813.0,39.51,123.09,121.18,1.3,-0.78
114.57,116.95,117.09,111.81,5259373.0,34.24,122.53,120.61,1.07,-0.93
115.93,116.98,117.39,115.25,4786330.0,30.96,121.9,120.13,0.83,-0.98
119.88,121.56,122.36,119.75,4207593.0,41.5,121.56,120.32,0.66,-0.67
121.19,120.29,122.17,120.14,3241117.0,34.19,120.96,120.32,0.53,-0.53
120.93,121.38,122.47,120.6,3840858.0,41.48,120.66,120.46,0.44,-0.35
120.99,119.12,121.72,118.97,4000863.0,44.05,120.46,120.28,0.35,-0.37
119.37,118.39,119.47,117.59,4180771.0,43.04,120.23,120.03,0.24,-0.41
121.3,121.76,122.62,121.01,5469282.0,48.43,120.17,120.26,0.19,-0.2
123.94,125.54,125.83,123.47,5727496.0,54.05,120.34,120.96,0.24,0.18
126.87,124.53,126.97,124.22,3916377.0,55.82,120.58,121.44,0.32,0.34
123.67,124.9,125.13,122.24,7930467.0,53.54,120.71,121.9,0.44,0.45
124.64,124.89,125.75,124.03,2883294.0,54.33,120.88,122.3,0.56,0.48
125.67,126.0,126.0,124.66,2978056.0,61.32,121.29,122.79,0.69,0.55
127.15,129.05,129.59,127.0,3917746.0,77.89,122.24,123.63,0.88,0.75
127.78,128.89,128.95,127.02,3864785.0,76.16,123.09,124.33,1.08,0.82
133.88,132.06,134.23,131.75,5892960.0,79.04,124.17,125.36,1.34,1.01
132.27,135.75,135.88,132.27,5370469.0,78.3,125.18,126.74,1.66,1.3
133.52,131.87,133.6,131.02,5393644.0,70.92,126.01,127.43,1.95,1.15
132.15,129.87,132.23,129.8,4734835.0,64.85,126.62,127.75,2.16,0.85
